OID_,bld_name_e,bld_name_c,bld_address,bld_ac_type,bld_year,bld_passenger,bld_service,bld_starting_oper,bld_opr_hrs,bld_start_opr_weekend,bld_opr_hrs_weekend,x,y,ELABEL,retail,parking,office,hotel,food,ghi,wind10m,td_cdd,LULCM,ndvi,ndbi,BH,podium,area,highrise,area_1,Dist_mtr,bld_eui,bld_eui2,log10_eui,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
2902,Ever Gain Centre (TW),永得利中心(TW),"43-57 Wang Wo Tsai Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1995,,,,,,,830408,825282,TAI WO HAU STATION,45.2503128,82.9473724,322.4681091,0,0,1431.415039,3.1476197,2.61452509,21,0.0075821,-0.0849713,74.1327362,0,,1,1449,708.0734328,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2903,Wing Kwai Factory Building,永桂第三工廠大廈,"2 Wang Wo Tsai Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1971,,,,,,,830234,825359,TSUEN WAN STATION,444.0719604,0,1566.299561,0,172.205719,1431.415039,2.5674841,2.61452509,21,0.0572875,0.0288791,44.4133415,1,5460,1,969,701.776399,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2904,Wing Yu Factory Building,永如工業大廈,"10-14 Wang Wo Tsai Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1970,,,,,,,830260,825345,TSUEN WAN STATION,59.245163,77.8582306,64.6776733,0,4.2697334,1431.415039,2.5674841,2.61452509,21,0.0266106,0.0640562,26.333662,1,5460,1,649,718.6358885,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2905,Sunwise Industrial Building,順力工業大廈,"16-26 Wang Wo Tsai Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1991,2,5,,,,,830291,825328,TSUEN WAN STATION,930.8955078,0,4529.780273,0,496.8956909,1431.415039,2.5674841,2.61452509,21,0.1242029,0.1348446,51.1348038,1,5460,1,1328,740.0799957,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2906,Leahander Centre,利興強中心,"28 Wang Wo Tsai Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1995,,,,,,,830326,825300,TAI WO HAU STATION,593.4271851,0,3644.526123,0,423.8413696,1431.415039,3.1476197,2.61452509,21,-0.0009807,-0.0887068,76.8045502,1,5460,1,867,762.5330384,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2907,Goodwill Industrial Building,信義工業大廈,"36-44 Pak Tin Par Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1982,1,,8,15,8,15,829380,826116,TSUEN WAN WEST STATION,1882.77771,96.5837555,1859.576294,0,417.0394592,1431.415039,1.7097902,2.507078853,21,0.0535354,0.1138488,93.7819595,1,13808,1,859,699.5299704,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2908,Sun Fung Industrial Building,新豐工業大廈,"8-12 Ma Kok Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1978,,,,,,,830307,825076,TAI WO HAU STATION,254.2169189,80.1278229,2998.830078,0,0,1431.780029,3.4563811,2.650340502,21,0.0351277,0.0249248,22.9775276,1,9106,1,2066,922.1877013,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2909,Southeast Industrial Building,東南工業大廈,"611-619 Castle Peak Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1985,,,,,,,828725,825984,TSUEN WAN WEST STATION,198.3044128,7.4673915,338.4500427,0,91.9725342,1425.571045,2.7664073,2.542894266,21,0.1140649,0.1224738,106.1376801,1,3372,1,3090,875.6909123,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2910,Superluck Industrial Centre Phase 2,荃運工業中心二期,"57 Sha Tsui Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1979,,,,,,,829408,826050,TSUEN WAN WEST STATION,1894.504395,191.9255371,1113.313843,0,655.7858276,1423.379028,1.7097902,2.507078853,21,0.063922,0.0853772,88.7343292,1,13808,1,3941,633.6299787,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2911,Superluck Industrial Centre Phase 1,荃運工業中心一期,"45-53 Sha Tsui Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1978,,,,,,,829318,826006,TSUEN WAN WEST STATION,1163.333618,69.6505585,1127.960693,0,981.1735229,1431.415039,2.2031801,2.507078853,21,0.0770855,-0.0065127,50.6314545,1,6835,1,1007,594.0517845,,,,NO,NO,NO,NO,NO,,,,,,,,,,
