full_addr_,full_addr1,bld_eui,bld_eui2,log10_eui,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
"Sea Bird House, 22-28 Wyndham St, Central, Hong Kong","四寶大樓, 香港中環雲咸街22-28號",126.26,35.07,1.544935766,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,16,yes,yes,,
"Seaview Commercial Building, 21-24 Connaught Road West, Sheung Wan, Hong Kong","海景商業大廈, 香港上環干諾道西21-24號",59.18,16.44,1.215901813,NO,NO,NO,NO,NO,2012,7/11/2013,retro_before,23,1,115,yes,yes,,
"Sek Yee House, 6 Li Yuen St E, Central, Hong Kong","式怡樓, 香港中環利源東街6號",115.77,32.16,1.50731604,NO,NO,NO,NO,NO,NONE,NONE,NONE,7,0,9,yes,,,
"Sen Fat Building, 6-8 Bonham Strand, Sheung Wan, Hong Kong","順發樓, 香港上環文咸東街6-8號",37.58,10.44,1.018700499,NO,NO,NO,NO,NO,NONE,NONE,NONE,5,0,5,,,,
"Shanghai Commercial Bank Building, 118 Aberdeen Main Rd, Aberdeen, Hong Kong","上海商業銀行大廈, 香港香港仔香港仔大道118號",565.68,157.13,2.196259111,NO,NO,NO,NO,NO,NONE,NONE,NONE,5,0,5,,,,
"Shing Hing Commercial Building, 21-27 Wing Kut St, Central, Hong Kong","誠興商業大廈, 香港中環永吉街21-27號",100.99,28.05,1.447932866,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,108,yes,yes,,
"Shing Lee Commercial Building, 6-12 Wing Kut Street, Sheung Wan, Hong Kong","誠利商業大廈, 香港上環永吉街6-12號",308.99,85.83,1.933639113,NO,NO,NO,YES,NO,2012,5/22/2014,retro_before,21,0,108,yes,yes,,
"Shing Po Building, 16-20 Ko Shing St, Central, Hong Kong","陞寶大廈, 香港中環高陞街16-20號",90.84,25.23,1.401917251,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,26,yes,yes,,
"Shiu Fung Hong Building, 239-241 Wing Lok Street, Central, Hong Kong","兆豐行大廈, 香港中環永樂街239-241號",121.428,33.73,1.528016341,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,60,,,,
"Shum Tower, 268 DES VOEUX ROAD CENTRAL, Sheung Wan, Hong Kong","岑氏商業大廈, 香港上環德輔道中268號",109.62,30.45,1.483587297,NO,NO,NO,NO,NO,NONE,NONE,NONE,27,0,46,yes,yes,,
"Shun Ho Tower, 24-30 Ice House Street, Central, Hong Kong","順豪大廈, 香港中環雪廠街24-30號",357.63,99.34,1.997124156,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,44,yes,,,
"Shun Kwong Commercial Building, 8 DES VOEUX ROAD WEST, Sheung Wan, Hong Kong","信光商業大廈, 香港上環德輔道西8號",276.07,76.69,1.884738738,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,66,yes,,,
"Shun On Commercial Building, 112 Des Voeux Road Central, Central, Hong Kong","順安商業大廈, 香港中環德輔道中112號",124.15,34.49,1.537693194,NO,NO,NO,NO,NO,NONE,NONE,NONE,16,0,31,,yes,,
"Shun Tak Centre, 200 Connaught Road Central, Central, Hong Kong","信德中心, 香港中環香港干諾道中200號",343.51,95.42,1.979639412,NO,YES,NO,NO,YES,2015,4/23/2018,retro_after,40,0,408,yes,,,
"Si Toi Commercial Building, 62-63 Connaught Rd W, Sai Ying Pun, Hong Kong","時代商業大廈, 香港西營盤干諾道西62-63號",68.27,18.96,1.277838333,NO,NO,NO,NO,NO,NONE,NONE,NONE,18,0,20,,yes,,
"Siberian Fur Store Building, 29-0 Des Voeux Road CentralHong Kong","西伯利亞皮草大廈, 香港德輔道中29-0號",93.88,26.08,1.416307587,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,13,yes,,,
"Silver Fortune Plaza, 1 WELLINGTON STREET, Central, Hong Kong","荊威廣場, 香港中環威靈頓街1號",695.7,193.25,2.286119503,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,23,yes,,,
"Sing Kui Commercial Building, 27 Des Voeux Rd W, Sheung Wan, Hong Kong","星衢商業大廈, 香港上環德輔道西27號",99.59,27.66,1.441852176,NO,NO,NO,NO,NO,NONE,NONE,NONE,16,0,32,yes,,,
"Singga Commercial Centre, 144-151 Connaught Road West, Sheung Wan, Hong Kong","成基商業中心, 香港上環干諾道西144-151號",288.84,80.23,1.904336792,NO,NO,NO,NO,NO,NONE,NONE,NONE,41,0,240,yes,,,
"Siu Kwan Shopping Centre, 120 Old Aberdeen Main Street, Aberdeen, Hong Kong","兆群大廈商場, 香港香港仔香港仔舊大街120號",1039.68,288.8,2.460597189,NO,NO,NO,NO,NO,NONE,NONE,NONE,26,0,96,yes,yes,,
"Siu On Building, 243-245 Des Voeux Rd W, Sai Ying Pun, Hong Kong","兆安大廈, 香港西營盤德輔道西243-245號",149.27,41.46,1.617629298,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,36,yes,yes,,
"Siu Ying Commercial Building, 151-155 Queen's Rd C, Central, Hong Kong","兆英商業大廈, 香港中環皇后大道中151-155號",109.4,30.39,1.4827307,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,2,44,yes,yes,,
"So Hong Commercial Building, 41-47 Jervois St, Central, Hong Kong","蘇杭商業大廈, 香港中環蘇杭街41-47號",68.69,19.08,1.28057837,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,13,yes,yes,,
"SOHO 77, 77 Bonham Strand East, Sheung Wan, Hong Kong",香港上環文咸東街77號,123.08,34.19,1.533899101,NO,NO,NO,NO,NO,NONE,NONE,NONE,6,0,5,yes,,,
"South China Building, 1 Wyndham St, Central, Hong Kong","南華大廈, 香港中環雲咸街1號",151.35,42.04,1.623662707,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,38,yes,yes,,
"St. George's Building, 2 Ice House Street, Central, Hong Kong","聖佐治大廈, 香港中環雪廠街2號",626.2,173.94,2.240399466,NO,YES,YES,YES,YES,2018,5/13/2020,retro_after,25,0,72,,,,
"Suen Yue Building, 48 Bonham Strand W, Central, Hong Kong","信裕大廈, 香港中環文咸西街48號",205.44,57.07,1.756407873,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,40,yes,yes,,
"Sun Court, 3-3A Belcher'S St, Central, Hong Kong","大新閣, 香港中環卑路乍街3-3A號",26.27,7.3,0.86332286,NO,NO,NO,NO,NO,NONE,NONE,NONE,26,0,100,,yes,,
"Sunny House, 12-16 Li Yuen St W, Central, Hong Kong","永盛大廈, 香港中環利源西街12-16號",83.31,23.14,1.364363355,NO,NO,NO,NO,NO,NONE,NONE,NONE,12,0,36,yes,,,
"Tack Building, 48-50 Gilman St, Central, Hong Kong","德享大廈, 香港中環機利文街48-50號",127.48,35.41,1.549125927,NO,NO,NO,NO,NO,NONE,NONE,NONE,10,0,9,,yes,,
"Tai Sang Bank Building, 130-132 Des Voeux Rd C, Sheung Wan, Hong Kong","大生銀行大廈, 香港上環德輔道中130-132號",372.08,103.36,2.014352501,NO,NO,YES,YES,NO,2015,5/3/2018,retro_after,15,0,14,yes,,,
"Tai Shing Building, 43-47 Bonham Strand W, Sheung Wan, Hong Kong","泰成大廈, 香港上環文咸西街43-47號",55.53,15.43,1.188365926,NO,NO,NO,NO,NO,NONE,NONE,NONE,10,0,27,yes,yes,,
"Tai Wong Commercial Building, 5-7 Queen's Road West, Sai Ying Pun, Hong Kong","大皇商業大廈, 香港西營盤皇后大道西5-7號",97.33,27.04,1.432006687,NO,NO,NO,NO,NO,NONE,NONE,NONE,14,0,24,,yes,,
"Tak Cheung Building, 22-24 Wing Lok St, Sheung Wan, Hong Kong","德彰大廈, 香港上環永樂街22-24號",65.94,18.32,1.262925469,NO,NO,NO,NO,NO,NONE,NONE,NONE,14,0,28,yes,,,
"Tak Woo House, 1-3 Wo On Lane, Central, Hong Kong","德和大廈, 香港中環和安里1-3號",89.76,24.93,1.396722279,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,53,yes,yes,,
"Takshing House, 20-0 Des Voeux Road CentralHong Kong","德成大廈 , 香港德輔道中20-0號",410.24,113.96,2.056752441,NO,NO,NO,NO,NO,NONE,NONE,NONE,16,0,80,yes,,,
"Teda Building, 87 Wing LoK Street, Sheung Wan, Hong Kong","泰達大廈, 香港上環永樂街87號",442.31,122.86,2.089410511,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,54,yes,yes,,
"Teng Fuh Commercial Building, 331-333 QUEEN'S ROAD CENTRAL","登富商業大廈, 皇后大道中331-333號",202.21,56.17,1.749504424,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,1,21,yes,,,
"Tern Centre Tower 1, 237-251 Queen's Road Central, Sheung Wan, Hong Kong","太興中心第一座, 香港上環皇后大道中237-251號",415.08,115.3,2.061829307,NO,NO,NO,NO,NO,NONE,NONE,NONE,27,0,27,yes,,,
"The Bank Of East Asia Building, 10 Des Voeux Rd C, Central, Hong Kong","東亞銀行大廈, 香港中環德輔道中10號",634.3,176.19,2.245981256,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,30,yes,,,
"The Center, 99 Queen's Road Central, Central, Hong Kong","中環中心, 香港中環皇后大道中99號",875.53,243.2,2.385963571,NO,NO,NO,NO,NO,NONE,NONE,NONE,81,0,960,yes,,,
"The Chinese Bank Building (Hong Kong Chinese Bank Building), 61-65 Des Voeux Road Central Hong Kong","華人銀行大廈, 香港德輔道中61-65號",404.01,112.23,2.050108963,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,21,yes,,,
"The Chinese Club Building, 21-22 Connaught Road Central ML 368 RP & SHong Kong","華商會所大廈, 香港干諾道中21-22號",92.17,25.6,1.408239965,NO,NO,NO,NO,NO,NONE,NONE,NONE,17,1,17,yes,yes,,
"The Chinese General Chamber Of Commerce Building, 24-25 Connaught Road Central ML 370 & ML 3Hong Kong","中華總商會大廈, 香港干諾道中24-25號",523.83,145.51,2.162892841,NO,NO,NO,NO,NO,NONE,NONE,NONE,10,0,10,yes,,,
"the L. Plaza, 367-375 Queen's Road Central, Sheung Wan, Hong Kong","萬利商業大廈, 香港上環皇后大道中367-375號",141.95,39.43,1.595826777,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,91,yes,,,
"The Pemberton, 22-26 Bonham Strand East, Sheung Wan, Hong Kong","栢廷坊, 香港上環文咸東街22-26號",454.7,126.31,2.101437735,NO,YES,NO,NO,NO,2012,8/12/2013,retro_before,22,1,22,yes,,,
"The Strand, 49 BONHAM STRAND","慶豐商業大廈, 文咸東街49號",606.67,168.52,2.22665145,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,22,,,,
"Thyrse House, 16 Pottinger Street, Central, Hong Kong","太富商業大廈, 香港中環砵甸乍街16號",191.29,53.14,1.72542155,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,25,yes,,,
"Tin Chak Building, 32-34 Gilman's Bazaar, Central, Hong Kong","天澤行, 香港中環機利文新街32-34號",49.77,13.83,1.14082218,NO,NO,NO,NO,NO,NONE,NONE,NONE,7,0,14,,yes,,
"Tin On Sing Commercial Building, 41-43 GRAHAM STREET","天安城商業大廈, 嘉咸街41-43號",108.28,30.08,1.478277832,NO,NO,NO,NO,NO,NONE,NONE,NONE,27,0,33,yes,yes,,
"Tin Wan Estate Carpark, 15 Tin Wan Street, Aberdeen, Hong Kong","田灣邨停車場, 香港香港仔田灣街15號",52.44,14.57,1.163459552,NO,NO,NO,NO,NO,NONE,NONE,NONE,3,0,380,yes,yes,,
"Tung Chai Building, 86-90 Wellington St, Central, Hong Kong","通濟大廈, 香港中環威靈頓街86-90號",65.23,18.12,1.258158193,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,26,yes,yes,,
"TUNG CHE COMMERCIAL CENTRE, 246 DES VOEUX ROAD WEST, Sheung Wan, Hong Kong","東慈商業中心, 香港上環德輔道西246號",487.7,135.47,2.131843131,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,192,,,,
"Tung Hip Commercial Building, 244-248 Des Voeux Rd C, Central, Hong Kong","東協商業大廈, 香港中環德輔道中244-248號",227.1,63.08,1.799891685,NO,YES,NO,NO,NO,2018,10/13/2020,retro_after,28,1,31,yes,yes,,
"Tung Kwong Building, 40-41 Connaught Road West IL 7122 & IL Hong Kong","東江大廈, 香港干諾道西40-41號",64.05,17.79,1.250175948,NO,NO,NO,NO,NO,NONE,NONE,NONE,12,0,24,yes,yes,,
"Tung Lee Commercial Building, 91-97 Jervois St, Central, Hong Kong","東利商業大廈, 香港中環蘇杭街91-97號",119.3,33.14,1.520352504,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,44,yes,yes,,
"Tung Ming Building, 40-42 Des Voeux Rd C, Central, Hong Kong","通明大廈, 香港中環德輔道中40-42號",119.51,33.2,1.521138084,NO,NO,NO,NO,NO,NONE,NONE,NONE,16,0,16,,,,
"Tung Ning Building, 249-251 Des Voeux Rd C, Sheung Wan, Hong Kong","東寧大廈, 香港上環德輔道中249-251號",431.24,119.79,2.078420565,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,39,yes,yes,,
"Tung Shan (Seng) Commercial Building, 88 Jervois St, Central, Hong Kong","統生商業大廈, 香港中環蘇杭街88號",62.2,17.28,1.237543738,NO,NO,NO,NO,NO,NONE,NONE,NONE,10,0,10,,,,
"TUNG YIU COMMERCIAL BUILDING, 31A WYNDHAM STREET, Central, Hong Kong","東耀商業大廈, 香港中環雲咸街31A號",186.1,51.69,1.713406532,NO,NO,NO,NO,NO,NONE,NONE,NONE,11,0,22,yes,,,
"Unicorn Trade Centre, 127-131 Des Voeux Road Central Hong Kong","有餘貿易中心, 香港德輔道中127-131號",274.51,76.25,1.882239848,NO,NO,NO,NO,NO,NONE,NONE,NONE,17,0,96,yes,,,
"Union Commercial Building, 12-16 Lyndhurst Terrace, Central, Hong Kong","合成商業大廈, 香港中環擺花街12-16號",164.6,45.72,1.660106222,NO,NO,NO,NO,NO,NONE,NONE,NONE,16,0,32,yes,yes,,
"Unionway Commercial Centre, 283 QUEEN'S ROAD CENTRAL","聯威商業中心, 皇后大道中283號",154.26,42.85,1.631950826,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,96,yes,yes,,
"United Building, 17-19 Jubilee Street Hong Kong","順聯大廈, 香港租庇利街17-19號",74.89,20.8,1.318063335,NO,NO,YES,YES,NO,2012,10/25/2013,retro_before,9,0,42,yes,yes,,
"Universal Trade Centre, 17-19 CAINE ROAD","環貿中心, 堅道17-19號",271.82,75.51,1.87800447,NO,NO,NO,NO,NO,NONE,NONE,NONE,32,0,130,,yes,,
"Uwa Building, 18-19 Connaught Road West, Sheung Wan, Hong Kong","祐華大廈, 香港上環干諾道西18-19號",73.13,20.31,1.307709923,NO,NO,NO,NO,NO,NONE,NONE,NONE,14,0,52,yes,,,
"V Heun Building, 138 Queen's Rd C, Central, Hong Kong","威享大廈, 香港中環皇后大道中138號",314.42,87.34,1.941213188,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,1,26,yes,yes,,
"Vastkin House, 84 Jervois St, Central, Hong Kong","華威大廈, 香港中環蘇杭街84號",123.88,34.41,1.536684673,NO,NO,NO,NO,NO,NONE,NONE,NONE,10,0,10,,,,
"Vogue Building, 67 Wyndham St, Central, Hong Kong","立健商業大廈, 香港中環雲咸街67號",95.06,26.41,1.421768401,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,13,yes,,,
"W Place, 52 Wyndham Street, Central, Hong Kong","得怡坊, 香港中環雲咸街52號",119.87,33.3,1.522444234,NO,NO,NO,NO,NO,NONE,NONE,NONE,8,0,8,,yes,,
"Waga Commercial Centre, 99 Wellington Street, Central, Hong Kong","威基商業中心, 香港中環威靈頓街99號",123.53,34.31,1.535420718,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,80,yes,,,
"Wah Kit Commercial Centre, 302 Des Voeux Rd C, Central, Hong Kong","華傑商業中心, 香港中環德輔道中302號",96.51,26.81,1.428296814,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,42,yes,yes,,
"Wah Yuen Building, 149 Queen's Rd C, Central, Hong Kong","華源大廈, 香港中環皇后大道中149號",149.22,41.45,1.617524535,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,26,yes,,,
"Wai Hing Commercial Building, 17-19 Wing Wo St, Central, Hong Kong","偉興商業大廈, 香港中環永和街17-19號",250.17,69.49,1.841922312,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,12,,,,
"Wai Wah Commercial Centre, 6 WILMER STREET, Sheung Wan, Hong Kong","威華商業中心, 香港上環威利麻街6號",478,132.78,2.123132664,NO,NO,NO,NO,NO,NONE,NONE,NONE,26,0,130,yes,yes,,
"Wai Yip Commercial Building, 100 Des Voeux Road Central, Central, Hong Kong","偉業商業樓, 香港中環德輔道中100號",149.6,41.56,1.618675539,NO,NO,NO,NO,NO,NONE,NONE,NONE,11,0,11,yes,yes,,
"Wang Hing Building, 34 Gough St, Central, Hong Kong","宏興樓, 香港中環歌賦街34號",50.85,14.13,1.150142162,NO,NO,NO,NO,NO,NONE,NONE,NONE,6,0,6,,yes,,
"Wayson Commercial Building, 28 Connaught Road West, Sheung Wan, Hong Kong","威勝商業大廈, 香港上環干諾道西28號",311.87,86.63,1.937668314,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,360,yes,yes,,
"Well On Commercial Building, 60 WELLINGTON STREET","威安商業大廈, 威靈頓街60號",157,43.61,1.639586087,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,13,yes,,,
"WELL VIEW COMMERCIAL BUILDING, 10 MORRISON STREET","宏基商業大廈, 摩利臣街10號",118,32.78,1.515608949,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,22,,,,
"Welland Building, 368 Queen's Rd C, Central, Hong Kong","偉利大廈, 香港中環皇后大道中368號",553.54,153.76,2.18684337,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,79,yes,yes,,
"Wellington Place, 2-8 Wellington St, Central, Hong Kong","威靈頓廣場, 香港中環威靈頓街2-8號",413.87,114.96,2.060546755,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,58,yes,yes,,
"Wellington Plaza, 56-58 Wellington St, Central, Hong Kong","威寧大廈, 香港中環威靈頓街56-58號",108.01,30,1.477121255,NO,NO,NO,NO,NO,NONE,NONE,NONE,10,0,20,,,,
"Western Centre, 46-50 Des Voeux Rd W, Sheung Wan, Hong Kong","西區中心大廈, 香港上環德輔道西46-50號",73.04,20.29,1.307282047,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,75,yes,yes,,
"Western Commercial Building, 29-31 Des Voeux Road West Hong Kong","西區商業大廈, 香港德輔道西29-31號",72.06,20.02,1.301464073,NO,NO,NO,NO,NO,NONE,NONE,NONE,15,0,30,yes,yes,,
"Western Harbour Centre, 181 CONNAUGHT ROAD WEST","滙港中心, 干諾道西181號",114.481,31.8,1.50242712,NO,NO,NO,NO,NO,NONE,NONE,NONE,29,0,280,yes,,,
"Wheelock House, 20 Pedder Street, Central, Hong Kong","會德豐大廈, 香港中環畢打街20號",922.7,256.31,2.408765551,NO,YES,NO,NO,NO,2018,1/11/2021,retro_after,25,0,150,yes,,,
"Willie Building, 222-224 Des Voeux Rd C, Central, Hong Kong","偉利大廈, 香港中環德輔道中222-224號",125.64,34.9,1.542825427,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,13,yes,,,
"Willy Commercial Building, 28-36 Wing Kut St, Central, Hong Kong","永吉利商業大廈, 香港中環永吉街28-36號",97.84,27.18,1.434249452,NO,NO,NO,NO,NO,NONE,NONE,NONE,16,0,75,yes,,,
"Wilson House, 19-27 Wyndham St, Central, Hong Kong","威信大廈, 香港中環雲咸街19-27號",508.2,141.17,2.149742415,NO,NO,YES,NO,NO,2015,6/26/2019,retro_after,23,0,69,yes,,,
"Winbase Centre, 208 QUEEN'S ROAD CENTRAL, Sheung Wan, Hong Kong","勝基中心, 香港上環皇后大道中208號",112,31.11,1.492900011,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,23,yes,,,
"Winfull Commercial Building, 172-176 Wing Lok St, Central, Hong Kong","永富商業大廈, 香港中環永樂街172-176號",334.01,92.78,1.967454368,NO,NO,NO,NO,NO,NONE,NONE,NONE,17,0,34,,yes,,
"Wing Cheong Commercial Building, 19-25 Jervois St, Central, Hong Kong","永昌商業大廈, 香港中環蘇杭街19-25號",33.22,9.23,0.965201701,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,92,yes,yes,,
"Wing Fat Building, 3-5 Jervois St, Central, Hong Kong","榮發樓, 香港中環蘇杭街3-5號",38.13,10.59,1.02489596,NO,NO,NO,NO,NO,NONE,NONE,NONE,5,0,17,,,,
"Wing Fat Commercial Building, 216-218 Aberdeen Main Rd, Aberdeen, Hong Kong","永發商業大廈, 香港香港仔香港仔大道216-218號",65.28,18.13,1.258397804,NO,NO,NO,NO,NO,NONE,NONE,NONE,20,0,23,,,,
"Wing Fu Building, 18-24 Wing Kut StreetHong Kong","永富大廈, 香港永吉街18-24號",104.95,29.15,1.464638559,NO,NO,NO,NO,NO,NONE,NONE,NONE,11,0,66,yes,,,
"WING HANG INSURANCE BUILDING, 9-17 WING KUT STREET, Central, Hong Kong","永亨保險大廈, 香港中環永吉街9-17號",463.86,128.85,2.110084423,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,66,yes,,,
"Wing Hing Commercial Building, 139 WING LOK STREET","永興商業大廈, 永樂街139號",113.56,31.54,1.498861689,NO,NO,NO,NO,NO,NONE,NONE,NONE,26,0,48,yes,,,
"Wing On Centre, 110-114 Connaught Rd C, Central, Hong Kong","永安中心, 香港中環干諾道中110-114號",392.52,109.03,2.037546012,NO,NO,YES,YES,NO,2018,11/21/2020,retro_after,31,1,26,yes,,,
"Wing On Cheong Building, 5-9 Wing Lok Street, Sheung Wan, Hong Kong","永安祥大廈, 香港上環永樂街5-9號",256,71.11,1.851930679,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,48,yes,,,
"Wing On House, 71-0 Des Voeux Road CentralHong Kong","永安集團大廈 , 香港德輔道中71-0號",189.11,52.53,1.720407401,NO,YES,NO,NO,NO,2018,8/23/2021,retro_after,32,0,118,yes,yes,,
"Wing Shing House, 168-170 Wing Lok St, Central, Hong Kong","榮成樓, 香港中環永樂街168-170號",80.27,22.3,1.348304863,NO,NO,NO,NO,NO,NONE,NONE,NONE,14,0,56,yes,yes,,
"Wing Shun Building, 64-66 Bonham Strand W, Sheung Wan, Hong Kong","永順大廈, 香港上環文咸西街64-66號",50.61,14.06,1.147985321,NO,NO,NO,NO,NO,NONE,NONE,NONE,14,0,45,yes,yes,,
"WING SING COMMERCIAL CENTRE, 12-16 WING LOK STREET","永昇商業中心, 永樂街12-16號",153.03,42.51,1.628491105,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,69,yes,,,
"Wing Tat Commercial Building, 97 Bonham Strand, Sheung Wan, Hong Kong","永達商業大廈, 香港上環文咸東街97號",106.12,29.48,1.469527479,NO,NO,NO,NO,NO,NONE,NONE,NONE,15,0,87,yes,yes,,
"Wing Tuck Commercial Centre, 13-17 Bonham Strand W, Central, Hong Kong","永德商業中心, 香港中環文咸西街13-17號",367.98,102.22,2.009535877,NO,YES,NO,NO,NO,2015,12/6/2017,retro_after,23,0,130,yes,yes,,
"WING YEE COMMERCIAL BUILDING, 3-7 WING KUT STREET","永宜商業大廈, 永吉街3-7號",76.93,21.37,1.329804522,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,49,yes,yes,,
"Wings Building, 110-116 Queen's Rd C, Central, Hong Kong","永恆商業大廈, 香港中環皇后大道中110-116號",62.35,17.32,1.238547888,NO,NO,NO,NO,NO,NONE,NONE,NONE,20,1,76,yes,yes,,
"Winning Centre, 46-48 Wyndham St, Central, Hong Kong","雲明行, 香港中環雲咸街46-48號",74.81,20.78,1.317645543,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,46,,yes,,
"Winning House, 10-16 Cochrane St, Central, Hong Kong","致發大廈, 香港中環閣麟街10-16號",15.4,4.28,0.631443769,NO,NO,NO,NO,NO,NONE,NONE,NONE,14,0,52,yes,yes,,
"Winning House, 72-76 Wing Lok St, Sheung Wan, Hong Kong","永利大廈, 香港上環永樂街72-76號",95.05,26.4,1.421603927,NO,NO,NO,NO,NO,NONE,NONE,NONE,10,0,30,yes,yes,,
"Winsome House, 73 Wyndham Street, Central, Hong Kong","雲山大廈, 香港中環雲咸街73號",406.17,112.83,2.052424588,NO,NO,NO,NO,NO,NONE,NONE,NONE,25,0,50,yes,,,
"Winway Building, 50 Wellington Street, Central, Hong Kong","華威大廈, 香港中環威靈頓街50號",824,228.89,2.359626819,NO,YES,NO,NO,YES,2012,7/21/2015,retro_after,22,0,70,yes,,,
"Wo Hing Commercial Building, 11-15 Wing Wo St, Central, Hong Kong","和興商業大廈, 香港中環永和街11-15號",87.24,24.23,1.384353414,NO,NO,NO,NO,NO,NONE,NONE,NONE,14,0,39,yes,yes,,
"Won Hing Building, 74-78 Stanley StreetHong Kong","旺興大廈 , 香港士丹利街74-78號",115.03,31.95,1.504470862,NO,NO,NO,NO,NO,NONE,NONE,NONE,9,0,45,yes,yes,,
"Wong Chung Ming Commercial House, 16 Wyndham St, Central, Hong Kong","王仲銘商業大廈, 香港中環雲咸街16號",336.69,93.53,1.970950934,NO,NO,NO,NO,NO,NONE,NONE,NONE,14,0,14,yes,,,
"WORKINGTON TOWER, 78 BONHAM STRAND","華東商業大廈, 文咸東街78號",120.14,33.37,1.523356207,NO,NO,NO,NO,NO,NONE,NONE,NONE,30,0,60,yes,,,
"World Fair Court, 4 Wah Lok Path, Pok Fu Lam, Hong Kong","華富閣, 香港薄扶林華樂徑4號",201.69,56.03,1.748420622,NO,NO,NO,NO,NO,NONE,NONE,NONE,34,0,278,yes,yes,,
"WORLD TRUST TOWER, 50 STANLEY STREET, Central, Hong Kong","信誠廣場, 香港中環士丹利街50號",535,148.61,2.172048034,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,94,yes,yes,,
"World Wide House, 19 Des Voeux Road Central, Central, Hong Kong","環球大廈, 香港中環德輔道中19號",753.78,209.38,2.320935195,NO,NO,NO,NO,NO,2018,11/12/2020,retro_after,27,0,363,yes,,,
"World-wide Commerical Building, 34 Wyndham St, Central, Hong Kong","世界商業大廈, 香港中環雲咸街34號",102.06,28.35,1.452553063,NO,NO,NO,NO,NO,NONE,NONE,NONE,14,0,28,yes,yes,,
"WUI TAT CENTRE, 5-7 DES VOEUX ROAD WEST","會達中心, 德輔道西5-7號",355.18,98.66,1.994141111,NO,NO,NO,NO,NO,NONE,NONE,NONE,25,0,33,yes,,,
"Wyland House, 55 Shek Pai Wan Road, Aberdeen, Hong Kong","匯賢大廈, 香港香港仔石排灣道55號",93.59,26,1.414973348,NO,NO,NO,NO,NO,NONE,NONE,NONE,26,0,182,yes,,,
"WYNDHAM PLACE, 40-44 WYNDHAM STREET","雲咸商業中心, 雲咸街40-44號",410.46,114.02,2.056981037,NO,NO,NO,NO,NO,NONE,NONE,NONE,30,1,30,yes,,,
"Xiu Ping Commercial Building, 104 JERVOIS STREET","秀平商業大廈, 蘇杭街104號",126.75,35.21,1.546666025,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,21,yes,yes,,
"Yardley Commercial Building, 3 Connaught Road West, Sheung Wan, Hong Kong","憶利商業大廈, 香港上環干諾道西3號",361.85,100.51,2.002209273,NO,NO,NO,NO,YES,2012,11/18/2013,retro_before,26,0,0,yes,,,
