full_addr_,full_addr1,bld_eui,bld_eui2,log10_eui,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
"Golden Sun Centre, 59-67 Bonham Strand West, Sheung Wan, Hong Kong","金日集團中心, 香港上環文咸西街59-67號",280.51,77.92,1.891648944,NO,NO,NO,NO,NO,NONE,NONE,NONE,25,0,168,yes,yes,,
"Goldfield Building, 42-44 Connaught Rd W, Sheung Wan, Hong Kong","高富大廈, 香港上環干諾道西42-44號",76.1,21.14,1.325104983,NO,NO,NO,NO,NO,NONE,NONE,NONE,12,0,44,yes,yes,,
"Goodview Centre, 12 WU PAK STREET, Aberdeen, Hong Kong","裕景中心, 香港香港仔湖北街12號",90.65,25.18,1.401055726,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,50,yes,yes,,
"GOUGH PLAZA, 33 GOUGH ST","經富中心, 歌賦街33號",46.31,12.86,1.109240969,NO,NO,NO,NO,NO,NONE,NONE,NONE,5,0,10,yes,yes,,
"Grand Building, 15-18 Connaught Road Central ML 367 & ML 3Hong Kong","大昌大廈, 香港干諾道中15-18號",55.55,15.43,1.188365926,NO,NO,NO,NO,NO,NONE,NONE,NONE,19,0,19,,yes,,
"Grand Millennium Plaza - Low Block, 181-183 Queen's Road Central, Sheung Wan, Hong Kong","新紀元廣場低座, 香港上環皇后大道中181-183號",645,179.17,2.253265294,NO,NO,NO,NO,NO,2015,11/20/2017,retro_after,28,0,140,yes,yes,,
"Grand Millennium Plaza, Cosco Tower, 181-183 Queen's Road, Sheung Wan, Hong Kong","新紀元廣場中遠大廈, 香港上環皇后大道中181-183號",527,146.39,2.165511411,NO,NO,NO,NO,NO,NONE,NONE,NONE,53,0,676,yes,,,
"Grand Progress Building, 15-16 Lan Kwai Fong, Central, Hong Kong","協興大廈, 香港中環蘭桂坊15-16號",115.07,31.96,1.504606771,NO,NO,NO,NO,NO,NONE,NONE,NONE,12,0,33,yes,yes,,
"Greenland Building, 303 Queen's Rd C, Central, Hong Kong","蔚林樓, 香港中環皇后大道中303號",94.94,26.37,1.42111013,NO,NO,NO,NO,NO,NONE,NONE,NONE,5,0,5,,,,
"GUANGDONG FINANCE BUILDING, 88 CONNAUGHT ROAD WEST","粵財大廈, 干諾道西88號",358.81,99.67,1.998564458,NO,NO,NO,NO,NO,NONE,NONE,NONE,33,0,29,yes,,,
"Guangdong Investment Tower, 147-151 Connaught Road Central, Sheung Wan, Hong Kong","粵海投資大廈, 香港上環干諾道中147-151號",238.86,66.35,1.821840927,NO,YES,NO,NO,YES,2015,7/31/2019,retro_after,27,1,54,yes,,,
"Ha Lung Building, 25-29 Ko Shing St, Sai Ying Pun, Hong Kong","合隆大廈, 香港西營盤高陞街25-29號",40.62,11.28,1.0523091,NO,NO,NO,NO,NO,NONE,NONE,NONE,17,0,96,yes,yes,,
"Haleson Building, 1 Jubilee St, Central, Hong Kong","喜訊大廈, 香港中環租庇利街1號",344.03,95.56,1.980276141,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,160,,,,
"Hang Fat Building, 138-140 Wing Lok St, Sheung Wan, Hong Kong","恆發大廈, 香港上環永樂街138-140號",481,133.61,2.125838964,NO,NO,NO,NO,NO,NONE,NONE,NONE,14,0,28,,yes,,
"Hang Fat Trading Building, 52 Bonham Strand West, Sheung Wan, Hong Kong","恆發貿易大廈, 香港上環文咸西街52號",91.2,25.33,1.40363519,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,46,yes,yes,,
